language,level,category,question_text,option_a,option_b,option_c,option_d,correct_answer
Italian,C1,vocabulary,"What does the verb 'inficiare' mean?","To invalidate / undermine","To verify","To create","To implement",A
Italian,C1,vocabulary,"What does 'lungimiranza' mean?","Foresight / clear vision of the future","Short-sightedness","Generosity","Stubbornness",A
Italian,C1,vocabulary,"Which word translates to 'superfluous or redundant'?","Pleonastico","Essenziale","Lacunoso","Efficace",A
Italian,C1,vocabulary,"What is 'l'abnegazione'?","Self-denial / absolute devotion","Refusal","Selfishness","Ignorance",A
Italian,C1,vocabulary,"What does the adjective 'mendace' mean?","False / deceitful","Truthful","Generous","Sincere",A
Italian,C1,vocabulary,"What does 'capzioso' mean when describing an argument?","Captious / deceptive","Clear / logical","Incomplete","Convincing",A
Italian,C1,vocabulary,"What does the adjective 'perentorio' mean?","Peremptory / absolute and final","Hesitant","Flexible","Negotiable",A
Italian,C1,vocabulary,"What does 'estemporaneo' mean?","Extemporaneous / impromptu","Planned","Eternal","Delayed",A
Italian,C1,vocabulary,"Which word translates to 'completely obvious or self-evident'?","Lapalissiano","Oscuro","Enigmatico","Complesso",A
Italian,C1,vocabulary,"What does 'deleterio' mean?","Deleterious / highly harmful","Beneficial","Temporary","Useless",A
Italian,C1,vocabulary,"What does the word 'foriero' mean?","Harbinger / bringing as a precursor","Preventative","Destructive","Irrelevant",A
Italian,C1,vocabulary,"What does the verb 'corroborare' mean?","To corroborate / strengthen","To weaken","To deny","To eliminate",A
Italian,C1,vocabulary,"What does 'sviscerare un argomento' mean?","To analyze an argument thoroughly","To ignore a topic","To change the subject","To summarize briefly",A
Italian,C1,vocabulary,"What does the verb 'perorare' mean?","To plead / advocate for","To condemn","To ignore","To postpone",A
Italian,C1,vocabulary,"What does the verb 'esimere' mean?","To exempt / excuse","To compel","To punish","To include",A
Italian,C1,vocabulary,"What does 'paventare' mean?","To fear / dread","To hope","To ensure","To verify",A
Italian,C1,vocabulary,"What does 'confutare' mean?","To refute / disprove","To confirm","To create","To support",A
Italian,C1,vocabulary,"Select the correct meaning of 'stigmatizzare':","To condemn / stigmatize","To praise","To ignore","To document",A
Italian,C1,vocabulary,"What does the verb 'propugnare' mean?","To advocate / champion an idea","To reject","To forget","To oppose",A
Italian,C1,vocabulary,"What does 'depauperare' mean?","To deplete / impoverish","To enrich","To optimize","To stabilize",A
Italian,C1,vocabulary,"What does 'esacerbare' mean?","To exacerbate / worsen","To calm","To resolve","To delay",A
Italian,C1,vocabulary,"What does 'reiterare' mean?","To reiterate / repeat","To cancel","To reduce","To start",A
Italian,C1,vocabulary,"What does 'perpetrare' mean?","To commit / perpetrate a crime","To prevent","To solve","To judge",A
Italian,C1,vocabulary,"What does 'congetturare' mean?","To conjecture / surmise","To prove","To know","To erase",A
Italian,C1,vocabulary,"What does 'aulico' mean when describing language?","Courtly / solemn and refined","Vulgar","Simple","Modern",A
Italian,C1,vocabulary,"What is 'un prodromo'?","A precursor / premonitory symptom","A consequence","A solution","A complete failure",A
Italian,C1,vocabulary,"Which word translates to 'anachronistic'?","Anacronistico","Attuale","Futuristico","Sincrono",A
Italian,C1,vocabulary,"What is 'una contingenza'?","An unforeseen circumstance / contingency","A planned event","A total certainty","A past fact",A
Italian,C1,vocabulary,"What does 'effimero' mean?","Ephemeral / short-lived","Eternal","Solid","Beautiful",A
Italian,C1,vocabulary,"What does 'fazioso' mean?","Biased / factional","Objective","Impartial","Neutral",A
Italian,C1,vocabulary,"What does 'recondito' mean?","Hidden / obscure","Obvious","Public","Bright",A
Italian,C1,vocabulary,"What does 'lapidario' mean when describing a statement?","Concise / monumental and brief","Long-winded","Confusing","Polite",A
Italian,C1,vocabulary,"What does 'venale' mean?","Mercenary / venal","Incorruptible","Generous","Loyal",A
Italian,C1,vocabulary,"What does 'fulgido' mean?","Radiant / brilliant","Dull","Dark","Scary",A
Italian,C1,vocabulary,"What does 'prodigo' mean?","Lavish / prodigal","Stingy","Careful","Poor",A
Italian,C1,vocabulary,"What does the adjective 'efferato' mean?","Heinous / brutal","Kind","Accidental","Justified",A
Italian,C1,vocabulary,"What does 'adamantino' mean figuratively?","Unyielding / pure and firm","Fragile","Corrupt","Uncertain",A
Italian,C1,vocabulary,"What does 'spurio' mean?","Spurious / false and unauthentic","Genuine","Legal","Ancient",A
Italian,C1,vocabulary,"Which word translates to 'heterogeneous'?","Eterogeneo","Omogeneo","Identico","Semplice",A
Italian,C1,vocabulary,"What does the verb 'eludere' mean?","To evade / elude","To accept","To clarify","To confront",A
Italian,C1,vocabulary,"What does 'procrastinare' mean?","To postpone / procrastinate","To advance","To finish","To decide",A
Italian,C1,vocabulary,"What does 'millantare' mean?","To boast / brag deceitfully","To admit","To hide","To verify",A
Italian,C1,vocabulary,"What does the verb 'aborrire' mean?","To abhor / loathe","To adore","To tolerate","To ignore",A
Italian,C1,vocabulary,"What does 'assecondare' mean?","To indulge / comply with","To oppose","To block","To judge",A
Italian,C1,vocabulary,"What does 'biasimare' mean?","To blame / censure","To praise","To reward","To ignore",A
Italian,C1,vocabulary,"What does 'elargire' mean?","To bestow / grant lavishly","To steal","To save","To keep",A
Italian,C1,vocabulary,"What does 'ineffabile' mean?","Ineffable / unspeakable","Common","Simple","Clear",A
Italian,C1,vocabulary,"What is 'una sineddoche'?","A synecdoche (rhetorical figure)","An error","A synonym","A translation",A
Italian,C1,vocabulary,"What is 'un ossimoro'?","An oxymoron","A validation","A agreement","A question",A
Italian,C1,vocabulary,"What does 'disdicevole' mean?","Unseemly / inappropriate","Honorable","Polite","Expected",A
Italian,C1,vocabulary,"What does 'indomito' mean?","Untamed / indomitable","Docile","Weak","Scared",A
Italian,C1,vocabulary,"What does 'vituperare' mean?","To vituperate / abuse verbally","To praise","To defend","To help",A
Italian,C1,vocabulary,"What is 'la sicofantia'?","Sycophancy / flattery","Honesty","Bravery","Rebellion",A
Italian,C1,vocabulary,"What does 'scellerato' mean?","Wicked / villainous","Saintly","Naive","Generous",A
Italian,C1,vocabulary,"What does the verb 'avallare' mean?","To endorse / support","To reject","To challenge","To delay",A
Italian,C1,vocabulary,"What is 'la piaga' in a social context?","Scourge / major affliction","Benefit","Minor issue","Solution",A
Italian,C1,vocabulary,"What does 'insito' mean?","Inherent / innate","External","Accidental","Temporary",A
Italian,C1,vocabulary,"What does 'opulento' mean?","Opulent / wealthy","Poor","Simple","Modest",A
Italian,C1,vocabulary,"What does the verb 'derogare' mean?","To deviate / derogate from a rule","To enforce","To write","To accept",A
Italian,C1,vocabulary,"What is 'una diatriba'?","A diatribe / long bitter dispute","A peaceful agreement","A short summary","A contract",A
Italian,C1,vocabulary,"What does 'invischiato' mean?","Entangled / deeply involved","Free","Isolated","Clean",A
Italian,C1,vocabulary,"What does the adjective 'onorifico' mean?","Honorary","Paying","Insulting","Compulsory",A
Italian,C1,vocabulary,"What is 'la moratoria'?","A moratorium / suspension","An acceleration","An implementation","A final closure",A
Italian,C1,vocabulary,"What does 'lesivo' mean?","Harmful / damaging","Protective","Useful","Neutral",A
Italian,C1,vocabulary,"What does 'irreprensibile' mean?","Blameless / irreproachable","Guilty","Flawed","Suspicious",A
Italian,C1,vocabulary,"What is 'l'acredine'?","Acrimony / bitterness of manner","Sweetness","Kindness","Indifference",A
Italian,C1,vocabulary,"What does 'antitetico' mean?","Antithetical / directly opposed","Similar","Identical","Complementary",A
Italian,C1,vocabulary,"What does 'velleitario' mean?","Unrealistic / overly ambitious without means","Practical","Successful","Simple",A
Italian,C1,vocabulary,"What does 'epocale' mean?","Epoch-making / monumental","Insignificant","Daily","Temporary",A
Italian,C1,vocabulary,"What is 'il sodalizio'?","Partnership / close association","Conflict","Divorce","Competition",A
Italian,C1,vocabulary,"What does 'goliardico' mean?","Jovial / student-like pranks","Serious","Sad","Academic",A
Italian,C1,vocabulary,"What is 'un'epifania' in a literary or conceptual sense?","A sudden realization / epiphany","A mistake","A long journey","A conflict",A
Italian,C1,vocabulary,"What does 'anodino' mean?","Innocuous / insignificant or colorless","Powerful","Brilliant","Dangerous",A
Italian,C1,vocabulary,"What does 'astioso' mean?","Rancorous / spiteful","Loving","Kind","Generous",A
Italian,C1,vocabulary,"What is 'la protervia'?","Arrogance / insolence","Humility","Shyness","Kindness",A
Italian,C1,vocabulary,"What does 'probo' mean?","Upright / honest","Corrupt","False","Lazy",A
Italian,C1,vocabulary,"What does 'smarrito' mean metaphorically?","Bewildered / lost","Found","Confident","Happy",A
Italian,C1,vocabulary,"What is 'la consuetudine'?","Custom / established practice","Innovation","Exception","Breakdown",A
Italian,C1,vocabulary,"What does 'recalcitrante' mean?","Recalcitrant / stubborn and resistant","Obedient","Eager","Passive",A
Italian,C1,vocabulary,"What does 'plebeo' mean contextually?","Plebeian / vulgar","Noble","Refined","Elegant",A
